,FSC-H,FSC-A,SSC-H,SSC-A,FITC-H,FITC-A,VSSC-H,VSSC-A,PE-H,PE-A,ECD-H,ECD-A,FSC-Width,Time
729,10.656257,10.102334,10.241326,10.113749,5.6379986,4.7816415,10.807095,10.741633,5.730749,3.992681,5.399971,3.9778109,6.377546,9.069698
733,10.317691,9.855652,9.826094,9.6255245,5.5891194,3.885679,10.354022,10.218521,5.900445,5.1357985,6.344583,5.0707893,6.469658,9.075665
737,10.378669,9.788991,9.887221,9.770681,5.654242,4.477337,10.675113,10.542847,6.059824,3.875359,6.05397,5.765818,6.3419394,9.08557
745,10.700411,10.0313225,10.083749,9.911803,5.5416555,3.6109178,10.697055,10.591996,6.310645,5.7226043,5.6930585,3.3877745,6.262485,9.098739
750,11.011583,10.695416,10.764473,10.7416935,6.10947,5.776413,11.369571,11.274018,5.988961,4.19419,5.4187636,0.6931472,6.6153545,9.104757
754,10.251807,9.8831625,9.570375,9.56879,6.0579543,5.6080055,10.0759735,10.004907,6.369901,5.674697,6.06518,4.7596064,6.5629973,9.109635
756,10.787424,10.693473,10.102052,10.445844,6.0973997,4.5390306,10.919542,11.155572,6.635159,5.761422,6.5023403,5.6443863,6.8375177,9.11405
766,10.7119255,10.2307205,9.703181,9.654917,5.6640015,4.495355,10.023197,9.9395685,5.5463486,3.754199,5.7229314,3.4177268,6.450267,9.121946
786,11.149385,10.703272,10.715426,10.719417,5.6629605,0.9932518,11.793003,11.7531805,5.570251,4.680278,5.951944,3.6813512,6.4853578,9.137877
787,9.740657,9.338488,9.318818,9.358623,5.658785,4.4127984,10.367394,10.2886715,6.344232,4.1713057,5.5222607,3.9665112,6.5294437,9.138308
789,10.407811,10.242585,10.363055,10.327038,5.6743536,4.693181,10.944802,10.847123,6.221385,5.7705064,6.0232053,2.4765384,6.766384,9.139488
790,10.40436,10.053432,9.876789,9.756888,5.876334,4.8394513,10.499444,10.373567,5.4518967,4.7095304,5.557986,3.708682,6.5806026,9.141633
796,10.08618,9.12403,9.406367,9.35451,6.0760355,5.0801616,10.143929,10.036868,6.316984,5.323985,5.7607927,2.8094027,5.9692945,9.151546
799,9.872213,9.307076,9.743812,9.708992,5.5736737,3.8022082,10.474326,10.317007,5.6893454,3.5467398,6.1954255,3.8110971,6.366282,9.154828
803,10.872779,10.373903,10.132406,10.039525,5.5510197,4.7050157,10.8911705,10.743642,5.972791,4.827513,6.43117,4.5217886,6.432619,9.156834
815,10.784261,10.083206,10.283843,10.143201,5.9849434,4.5422306,11.0328665,10.933794,6.060057,5.439817,6.1622615,4.9228964,6.2305636,9.165866
829,10.900379,10.413106,10.108117,10.023016,6.114567,4.5443583,10.9865465,10.801721,6.002157,3.310543,6.5431924,5.5510197,6.4442706,9.176681
833,10.528896,10.197294,9.798983,9.675746,5.523459,2.8094027,10.451135,10.330809,6.428428,5.6674643,6.1791883,5.4071717,6.5999637,9.179572
841,10.686162,10.349845,10.299155,10.219035,5.7368946,4.1850986,10.992452,10.907348,5.661918,3.5807374,6.2087913,5.177279,6.5952005,9.187481
855,10.776648,10.021164,10.081868,10.031833,5.8996234,4.8048406,10.742241,10.582637,6.652734,6.1368628,5.1767144,2.791165,6.1759887,9.208439
863,10.520426,10.244155,9.790257,9.84652,6.2191978,3.6506581,10.629218,10.592885,5.6411977,0.91629076,5.812039,4.85515,6.6552,9.219102
867,9.875242,8.998087,9.743049,9.421873,5.6626134,4.4920015,10.465749,10.276887,5.820083,3.440418,5.921042,4.4931207,6.0544586,9.223651
874,10.165486,9.692798,9.653641,9.717628,6.0234475,5.133443,10.905089,10.846912,6.1512423,5.833348,6.3828306,5.9954567,6.459033,9.233862
882,10.669084,10.280937,10.158242,10.060098,6.1845613,5.245444,10.939837,10.85017,6.4488893,5.7582707,5.5012584,1.7917595,6.5434294,9.240093
883,10.3930855,9.605748,9.957194,9.88187,6.2039514,5.6977644,10.533402,10.447009,6.2785215,4.264087,5.942012,1.5686159,6.1441107,9.240967
887,10.218313,9.6637125,9.546713,9.370476,6.0468993,4.3845234,10.1937475,10.0389185,6.1216154,5.608739,5.8230457,3.897924,6.3768797,9.2444515
896,10.311453,9.749724,9.7854185,9.536625,5.764564,4.744932,10.221963,10.045408,5.4726906,4.000034,5.755742,1.8718022,6.3698173,9.254166
901,10.7035885,10.381466,10.106824,10.118284,5.8066397,4.592085,10.939124,10.866818,5.8203797,4.630838,6.0844994,4.4693503,6.6094017,9.256556
903,10.50252,9.21178,9.990953,9.779188,5.46806,1.9169227,10.492273,10.309523,5.77889,3.6402142,6.419669,4.911919,5.6408873,9.257701
907,10.336331,9.432988,10.057466,9.88516,5.922918,4.9972124,10.780132,10.634042,6.4617805,5.734635,6.3914146,5.260096,6.028087,9.2606535
908,10.397745,9.897142,9.897686,9.718873,5.813235,4.3515673,10.6287,10.394047,6.631738,5.5270452,6.4518914,5.7014465,6.4308934,9.261509
917,9.723517,8.882919,8.349437,8.257853,5.5928507,4.5108595,8.716011,7.78464,6.1835303,4.8805265,5.9529834,4.623992,6.0909457,9.271247
928,10.906682,10.215107,10.479803,10.417592,5.726196,4.6718936,11.186178,11.062655,6.539875,6.0063534,5.972791,5.5012584,6.239937,9.282196
930,10.856766,10.411401,9.780642,9.653101,6.214208,5.4697466,10.084387,9.965608,5.8670344,2.8033605,6.220789,4.566429,6.486157,9.284427
933,10.5227165,9.981443,10.334295,10.16432,5.9018135,4.841822,10.835017,10.698623,5.207298,3.1738784,6.113018,3.7352858,6.3903346,9.291459
939,10.781316,10.316392,9.964582,9.839013,5.7180142,4.3969154,10.505731,10.351114,6.2406654,5.5482974,6.0354815,4.6765604,6.46656,9.296701
940,10.314305,9.74882,9.514393,9.415898,5.7343116,4.665324,10.143386,9.953786,6.015425,3.5695326,6.0556126,3.7612002,6.36602,9.296793
950,10.658104,10.110672,10.053393,9.903297,6.2649207,5.31812,10.568484,10.45117,6.714777,6.2515182,6.132096,2.9338567,6.384218,9.303831
953,10.383241,9.812835,8.636362,8.534837,5.8215656,3.8607297,9.008481,8.8450575,6.3845196,5.1143947,5.8774557,3.7612002,6.361102,9.305105
954,10.8235,10.391252,10.260981,10.307498,6.03811,5.6322865,11.000746,10.948066,5.6794896,3.5638828,5.464679,3.1135154,6.4992437,9.306014
963,10.603392,10.117707,10.150598,10.107852,5.8478827,4.7361984,10.739656,10.696102,5.801212,5.144,5.9383273,5.1119876,6.44593,9.31109
964,10.203492,9.744603,9.798505,9.537599,6.083132,4.879007,10.40114,10.123462,6.3373566,5.4843817,6.4503126,5.243333,6.472756,9.312265
971,10.886983,10.465996,10.298111,10.175242,5.972027,4.6690836,10.417479,10.278538,5.5740533,4.9308705,6.1471853,4.361824,6.5105433,9.319733
972,10.783952,10.102367,10.077478,10.025002,5.8039293,5.0238805,10.708779,10.62233,6.133615,5.213848,6.180431,4.5890408,6.2498665,9.321345
980,8.96152,7.2265,9.195399,8.280002,5.548687,4.428433,9.236398,8.279925,5.723258,4.213608,6.443972,5.7160406,5.196828,9.3258095
986,10.664142,9.973098,9.678705,9.467994,5.3655086,4.1092334,10.12561,9.929336,5.7592173,5.101694,5.846439,3.5409594,6.240449,9.336356
988,10.448726,10.123952,9.916053,9.877857,5.781052,4.714921,10.509321,10.429029,5.36691,2.6602595,6.1054626,6.0080757,6.6068006,9.339173
998,10.287429,9.768326,9.450899,9.438567,6.079933,5.2543654,10.287027,10.184326,6.6918354,6.3925867,6.5998707,5.7313976,6.41241,9.353575
